.\Prefabs\Coin\coin1.png | (74,72)-> (76,72)
.\Prefabs\Coin\coin10.png | (74,72)-> (76,72)
.\Prefabs\Coin\coin2.png | (74,61)-> (76,64)
.\Prefabs\Coin\coin3.png | (74,46)-> (76,48)
.\Prefabs\Coin\coin4.png | (74,31)-> (76,32)
.\Prefabs\Coin\coin5.png | (74,14)-> (76,16)
.\Prefabs\Coin\coin6.png | (74,31)-> (76,32)
.\Prefabs\Coin\coin7.png | (74,46)-> (76,48)
.\Prefabs\Coin\coin8.png | (74,61)-> (76,64)
.\Prefabs\Coin\coin9.png | (74,72)-> (76,72)
.\Room\1_New_Living room\UI\c1_r1_carpet_1_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_carpet_2_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_carpet_3_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_carpet_icon.png | (113,113)-> (116,116)
.\Room\1_New_Living room\UI\c1_r1_curtain_1_mini.png | (212,135)-> (212,136)
.\Room\1_New_Living room\UI\c1_r1_curtain_3_mini.png | (208,129)-> (208,132)
.\Room\1_New_Living room\UI\c1_r1_curtain_icon.png | (113,113)-> (116,116)
.\Room\1_New_Living room\UI\c1_r1_floor_1_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_floor_2_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_floor_3_mini.png | (207,104)-> (208,104)
.\Room\1_New_Living room\UI\c1_r1_floor_icon.png | (113,113)-> (116,116)
.\Room\1_New_Living room\UI\c1_r1_flower_icon.png | (113,113)-> (116,116)
.\Room\1_New_Living room\UI\c1_r1_frame_1_mini.png | (193,130)-> (196,132)
.\Room\1_New_Living room\UI\c1_r1_frame_2_mini.png | (158,194)-> (160,196)
.\Room\1_New_Living room\UI\c1_r1_frame_3_mini.png | (155,182)-> (156,184)
.\Room\1_New_Living room\UI\c1_r1_frame_icon.png | (113,113)-> (116,116)
.\Room\1_New_Living room\UI\c1_r1_lamp_1_mini.png | (192,178)-> (192,180)
.\Room\1_New_Living room\UI\c1_r1_lamp_2_mini.png | (172,165)-> (172,168)
.\Room\1_New_Living room\UI\c1_r1_lamp_3_mini.png | (152,187)-> (152,188)
.\Room\1_New_Living room\UI\c1_r1_lamp_icon.png | (113,113)-> (116,116)
